player_id,source_name,canonical_name,canonical_name_key,source_position_id,canonical_position
1098,Darnell Mooney,darnell mooney,darnell mooney,8004.0,WR
1099,Darrell Henderson,darrell henderson,darrell henderson,8003.0,RB
1100,Darren Waller,darren waller,darren waller,8005.0,TE
1101,Davante Adams,davante adams,davante adams,8004.0,WR
1102,David Johnson,david johnson,david johnson,8003.0,RB
1103,David Montgomery,david montgomery,david montgomery,8004.0,WR
1104,David Moore,david moore,david moore,8004.0,WR
1105,David Njoku,david njoku,david njoku,8005.0,TE
1106,De'Von Achane,devon achane,devon achane,8003.0,RB
1107,DeAndre Hopkins,deandre hopkins,deandre hopkins,8004.0,WR
1108,Dede Westbrook,dede westbrook,dede westbrook,8004.0,WR
1109,Deebo Samuel,deebo samuel,deebo samuel,8004.0,WR
1110,Delanie Walker,delanie walker,delanie walker,8005.0,TE
1111,Demaryius Thomas,demaryius thomas,demaryius thomas,8004.0,WR
1112,Broncos D/ST,broncos d/st,broncos d/st,8006.0,DEF
1113,Derek Carr,derek carr,derek carr,8002.0,QB
1114,Derrick Henry,derrick henry,derrick henry,8003.0,RB
1115,Derrius Guice,derrius guice,derrius guice,8003.0,RB
1116,DeSean Jackson,desean jackson,desean jackson,8004.0,WR
1117,Deshaun Watson,deshaun watson,deshaun watson,8002.0,QB
1118,Desmond Ridder,desmond ridder,desmond ridder,8002.0,QB
1119,Deuce Vaughn,deuce vaughn,deuce vaughn,8003.0,RB
1120,DeVante Parker,devante parker,devante parker,8004.0,WR
1121,Devin Funchess,devin funchess,devin funchess,8004.0,WR
1122,Devin Singletary,devin singletary,devin singletary,8003.0,RB
1123,Devonta Freeman,devonta freeman,devonta freeman,8003.0,RB
1124,DeVonta Smith,devonta smith,devonta smith,8004.0,WR
1125,Devontae Booker,devontae booker,devontae booker,8003.0,RB
1126,Dion Lewis,dion lewis,dion lewis,8003.0,RB
1127,Diontae Johnson,diontae johnson,diontae johnson,8004.0,WR
1128,DK Metcalf,dk metcalf,dk metcalf,8004.0,WR
1129,Donte Moncrief,donte moncrief,donte moncrief,8004.0,WR
1130,Doug Baldwin,doug baldwin,doug baldwin,8004.0,WR
1131,Doug Martin,doug martin,doug martin,8003.0,RB
1132,Drake London,drake london,drake london,8004.0,WR
1133,Drew Brees,drew brees,drew brees,8002.0,QB
1134,Drew Lock,drew lock,drew lock,8002.0,QB
1135,Duke Johnson,duke johnson,duke johnson,8003.0,RB
1136,Elijah McGuire,elijah mcguire,elijah mcguire,8003.0,RB
1137,Elijah Moore,elijah moore,elijah moore,8004.0,WR
1138,Emmanuel Sanders,emmanuel sanders,emmanuel sanders,8004.0,WR
1139,Eric Ebron,eric ebron,eric ebron,8005.0,TE
1140,Evan Engram,evan engram,evan engram,8005.0,TE
1141,Ezekiel Elliott,ezekiel elliott,ezekiel elliott,8003.0,RB
1142,Frank Gore,frank gore,frank gore,8003.0,RB
1143,Gabe Davis,gabe davis,gabe davis,,UNKNOWN
1144,Gardner Minshew,gardner minshew,gardner minshew,8002.0,QB
1145,Garrett Wilson,garrett wilson,garrett wilson,8004.0,WR
1146,George Kittle,george kittle,george kittle,8005.0,TE
1147,George Pickens,george pickens,george pickens,8004.0,WR
1148,Gerald Everett,gerald everett,gerald everett,8005.0,TE
1149,Geronimo Allison,geronimo allison,geronimo allison,8004.0,WR
1150,Giovani Bernard,giovani bernard,giovani bernard,8003.0,RB
1151,Golden Tate,golden tate,golden tate,8004.0,WR
1152,Graham Gano,graham gano,graham gano,8099.0,K
1153,Green Bay Packers,green bay packers,green bay packers,8006.0,DEF
1154,Greg Dulcich,greg dulcich,greg dulcich,8005.0,TE
1155,Greg Olsen,greg olsen,greg olsen,8005.0,TE
1156,Greg Zuerlein,greg zuerlein,greg zuerlein,8099.0,K
1157,Gus Edwards,gus edwards,gus edwards,8003.0,RB
1158,Harrison Butker,harrison butker,harrison butker,8099.0,K
1159,Hassan Haskins,hassan haskins,hassan haskins,8003.0,RB
1160,Hayden Hurst,hayden hurst,hayden hurst,8005.0,TE
1161,Henry Ruggs,henry ruggs,henry ruggs,8004.0,WR
1162,Houston Texans,houston texans,houston texans,8006.0,DEF
1163,Hunter Henry,hunter henry,hunter henry,8005.0,TE
1164,Ian Thomas,ian thomas,ian thomas,8005.0,TE
1165,Colts D/ST,colts d/st,colts d/st,8006.0,DEF
1166,Irv Smith Jr,irv smith,irv smith,8005.0,TE
1168,Isaiah Crowell,isaiah crowell,isaiah crowell,8003.0,RB
1169,Isaiah Spiller,isaiah spiller,isaiah spiller,8003.0,RB
1170,Isiah Pacheco,isiah pacheco,isiah pacheco,8003.0,RB
1171,J.D. McKissic,jd mckissic,jd mckissic,8003.0,RB
